verh;f_p;begin_slice;end_slice; p_n;   p_n+k;    m(S);    e(S);  #(S<F);    f(S);f(S)-3m(S);   stable;    u(S); fne(S);   sum(A)
1.1113464821;19.00172757748;5002;5503;48623;54037;48623;503;435452;923921;778052;         ;54037;875298;24932950563
1.1115932789;19.00172757748;5002;5504;48623;54049;48623;504;436349;923921;778052;         ;54049;875298;24889335732
1.1117989429;19.00172757748;5002;5505;48623;54059;48623;505;437292;923921;778052;         ;54059;875298;24843484243
1.1122925365;19.00172757748;5002;5506;48623;54083;48623;506;438697;923921;778052;         ;54083;875298;24775168928
1.1124570676;19.00172757748;5002;5507;48623;54091;48623;507;439622;923921;778052;         ;54091;875298;24730192653
1.1126627316;19.00172757748;5002;5508;48623;54101;48623;508;440489;923921;778052;         ;54101;875298;24688036512
1.1130740596;19.00172757748;5002;5509;48623;54121;48623;509;441795;923921;778052;         ;54121;875298;24624534874
1.1133208564;19.00172757748;5002;5510;48623;54133;48623;510;442813;923921;778052;         ;54133;875298;24575036660
1.1134442548;19.00172757748;5002;5511;48623;54139;48623;511;443319;923921;778052;         ;54139;875298;24550433422
1.1136910516;19.00172757748;5002;5512;48623;54151;48623;512;444099;923921;778052;         ;54151;875298;24512507482
1.1139378483;19.00172757748;5002;5513;48623;54163;48623;513;444903;923921;778052;         ;54163;875298;24473414590
1.1140201139;19.00172757748;5002;5514;48623;54167;48623;514;445606;923921;778052;         ;54167;875298;24439232621
1.1143080435;19.00172757748;5002;5515;48623;54181;48623;515;446558;923921;778052;         ;54181;875298;24392943525
1.1145548403;19.00172757748;5002;5516;48623;54193;48623;516;447420;923921;778052;         ;54193;875298;24351030499
1.1150484339;19.00172757748;5002;5517;48623;54217;48623;517;448923;923921;778052;         ;54217;875298;24277950130
1.1157476914;19.00172757748;5002;5518;48623;54251;48623;518;451285;923921;778052;         ;54251;875298;24163102604
1.1161178866;19.00172757748;5002;5519;48623;54269;48623;519;452736;923921;778052;         ;54269;875298;24092550631
1.1162824178;19.00172757748;5002;5520;48623;54277;48623;520;453708;923921;778052;         ;54277;875298;24045289075
1.1164880818;19.00172757748;5002;5521;48623;54287;48623;521;454549;923921;778052;         ;54287;875298;24004397132
1.1166114802;19.00172757748;5002;5522;48623;54293;48623;522;455166;923921;778052;         ;54293;875298;23974396741
1.1169816753;19.00172757748;5002;5523;48623;54311;48623;523;456264;923921;778052;         ;54311;875298;23921008687
1.1171462065;19.00172757748;5002;5524;48623;54319;48623;524;456983;923921;778052;         ;54319;875298;23886048750
1.1172284721;19.00172757748;5002;5525;48623;54323;48623;525;457471;923921;778052;         ;54323;875298;23862320726
